,adult,old,young
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,0,0.221,0.198
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,1,1,1
KEGG_ETHER_LIPID_METABOLISM,0.96,0.987,1
KEGG_ARACHIDONIC_ACID_METABOLISM,0.001,0.121,0.017
KEGG_LINOLEIC_ACID_METABOLISM,0.518,0.612,0.825
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,0.081,0.925,0.942
KEGG_SPHINGOLIPID_METABOLISM,0.939,0.681,0.774
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0.999,0.959,1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,0.977,0.997,0.997
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,0.989,0.984,0.983
KEGG_PYRUVATE_METABOLISM,0.976,0.991,1
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0.577,0.024,0.538
KEGG_PROPANOATE_METABOLISM,0.531,0.995,0.936
KEGG_BUTANOATE_METABOLISM,0.001,0,0.995
KEGG_ONE_CARBON_POOL_BY_FOLATE,0.747,0.021,0.618
KEGG_RIBOFLAVIN_METABOLISM,0.029,0.017,0.65
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0.105,0.845,0.171
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,0.822,0,0.459
KEGG_FOLATE_BIOSYNTHESIS,0.513,0.311,0.005
KEGG_RETINOL_METABOLISM,0.932,0.162,0.9
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,0.99,0.997,0.529
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,0.064,0.995,0.419
KEGG_LIMONENE_AND_PINENE_DEGRADATION,0.391,0.073,0.692
KEGG_NITROGEN_METABOLISM,0.249,0.734,0.482
KEGG_SULFUR_METABOLISM,1,1,1
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0.935,0.076,0.899
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.978,1,1
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.985,1,1
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,0.483,0.459,0.485
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.223,0,0.008
KEGG_ABC_TRANSPORTERS,0.997,0.911,1
KEGG_RIBOSOME,0.462,0.012,0.667
KEGG_RNA_DEGRADATION,0.198,0.578,0.355
KEGG_RNA_POLYMERASE,0.66,0.94,0.041
KEGG_BASAL_TRANSCRIPTION_FACTORS,0.987,0.661,0.929
KEGG_DNA_REPLICATION,0,0.38,0.002
KEGG_SPLICEOSOME,0.004,0.71,0.349
KEGG_PROTEASOME,1,1,1
KEGG_PROTEIN_EXPORT,0.991,0.012,1
KEGG_PPAR_SIGNALING_PATHWAY,0.938,0.264,0.674
KEGG_BASE_EXCISION_REPAIR,0.272,0.011,0.158
KEGG_NUCLEOTIDE_EXCISION_REPAIR,0.971,0.885,0.861
KEGG_MISMATCH_REPAIR,0.127,0.008,0.016
KEGG_HOMOLOGOUS_RECOMBINATION,0.987,0.005,0.116
KEGG_NON_HOMOLOGOUS_END_JOINING,0.918,0.202,0.295
KEGG_MAPK_SIGNALING_PATHWAY,1,1,1
KEGG_ERBB_SIGNALING_PATHWAY,1,1,1
KEGG_CALCIUM_SIGNALING_PATHWAY,1,0.999,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0,0.284,0.035
KEGG_CHEMOKINE_SIGNALING_PATHWAY,1,1,1
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,1,1,1
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.089,0.582,0.195
KEGG_CELL_CYCLE,0.802,0.921,0.43
KEGG_OOCYTE_MEIOSIS,0.014,0.002,0.929
KEGG_P53_SIGNALING_PATHWAY,0.099,0.596,0.545
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,1,1,1
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.385,0.985,0.999
KEGG_REGULATION_OF_AUTOPHAGY,0,0,0.998
KEGG_LYSOSOME,0.219,0.208,0.577
KEGG_ENDOCYTOSIS,1,1,1
KEGG_PEROXISOME,0.012,0.092,0.538
KEGG_MTOR_SIGNALING_PATHWAY,0.052,0,0.98
KEGG_APOPTOSIS,0.998,0.999,0.984
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.993,1,1
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,1,1,1
KEGG_WNT_SIGNALING_PATHWAY,1,1,1
KEGG_DORSO_VENTRAL_AXIS_FORMATION,1,1,1
KEGG_NOTCH_SIGNALING_PATHWAY,1,0.98,0.997
KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.976,1,0.999
KEGG_TGF_BETA_SIGNALING_PATHWAY,1,1,1
KEGG_AXON_GUIDANCE,1,1,1
KEGG_VEGF_SIGNALING_PATHWAY,1,1,1
KEGG_FOCAL_ADHESION,0.979,1,0.743
KEGG_ECM_RECEPTOR_INTERACTION,0.36,0.053,0.991
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.024,0.466,0.01
KEGG_ADHERENS_JUNCTION,1,1,1
KEGG_TIGHT_JUNCTION,0.996,1,1
KEGG_GAP_JUNCTION,1,0.828,1
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.418,0.996,0.33
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.836,0.301,0.383
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.654,0.014,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.756,1,0.999
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.999,0.942,0.829
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,1,1,1
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.059,0.94,0.764
KEGG_JAK_STAT_SIGNALING_PATHWAY,1,1,0.961
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.132,0,0.025
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.129,0.004,0.449
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.999,1,1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.866,1,1
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,1,1,1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,1,0.974,1
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.955,0.902,0.573
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,1,0.091,0.707
KEGG_CIRCADIAN_RHYTHM_MAMMAL,1,1,1
KEGG_LONG_TERM_POTENTIATION,1,1,1
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,1,1,1
KEGG_LONG_TERM_DEPRESSION,1,1,1
KEGG_OLFACTORY_TRANSDUCTION,0.013,0.663,0.041
KEGG_TASTE_TRANSDUCTION,0.215,0.697,0.015
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.032,0.01,0.981
KEGG_INSULIN_SIGNALING_PATHWAY,0.504,0.068,1
KEGG_GNRH_SIGNALING_PATHWAY,1,1,1
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.016,0.007,0.984
KEGG_MELANOGENESIS,1,1,1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.981,0.989,1
KEGG_TYPE_II_DIABETES_MELLITUS,1,0.162,0.704
KEGG_TYPE_I_DIABETES_MELLITUS,0,0,0.095
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,0,0.5,0.961
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0,0,0
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.994,0.997,0.802
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,0.012,0.017,0.211
KEGG_ALZHEIMERS_DISEASE,0.988,1,0.998
KEGG_PARKINSONS_DISEASE,1,1,1
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.809,1,0.918
KEGG_HUNTINGTONS_DISEASE,1,0.999,1
KEGG_PRION_DISEASES,0.998,0.559,0.962
KEGG_VIBRIO_CHOLERAE_INFECTION,0.001,0.004,0.062
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.671,0.677,0.737
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.857,0.028,0.144
KEGG_LEISHMANIA_INFECTION,0,0.837,0.186
KEGG_PATHWAYS_IN_CANCER,1,0.999,1
KEGG_COLORECTAL_CANCER,0.994,1,1
KEGG_RENAL_CELL_CARCINOMA,0.616,1,1
KEGG_PANCREATIC_CANCER,0.13,0.999,1
KEGG_ENDOMETRIAL_CANCER,1,1,1
KEGG_GLIOMA,1,0.996,0.993
KEGG_PROSTATE_CANCER,0.071,0,0.994
KEGG_THYROID_CANCER,1,1,1
KEGG_BASAL_CELL_CARCINOMA,0.723,1,0.999
KEGG_MELANOMA,1,0.785,0.949
KEGG_BLADDER_CANCER,0.032,0.005,0.906
KEGG_CHRONIC_MYELOID_LEUKEMIA,1,0.998,0.986
KEGG_ACUTE_MYELOID_LEUKEMIA,1,1,1
KEGG_SMALL_CELL_LUNG_CANCER,1,1,1
KEGG_NON_SMALL_CELL_LUNG_CANCER,1,0.996,0.999
KEGG_ASTHMA,1,1,1
KEGG_AUTOIMMUNE_THYROID_DISEASE,0.997,0.71,0.945
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.992,0.972,0.468
KEGG_ALLOGRAFT_REJECTION,0.998,0.78,0.932
KEGG_GRAFT_VERSUS_HOST_DISEASE,0.998,0.775,0.949
KEGG_PRIMARY_IMMUNODEFICIENCY,1,1,1
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.921,0.807,0.341
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,1,0.988,0.944
KEGG_DILATED_CARDIOMYOPATHY,1,0.95,0.942
KEGG_VIRAL_MYOCARDITIS,0.971,0.327,0.158
BIOCARTA_RELA_PATHWAY,1,1,1
BIOCARTA_NO1_PATHWAY,0.036,0.529,0.858
BIOCARTA_CSK_PATHWAY,0.105,0.17,0.818
BIOCARTA_SRCRPTP_PATHWAY,1,1,1
BIOCARTA_AMI_PATHWAY,1,1,1
BIOCARTA_GRANULOCYTES_PATHWAY,1,1,1
BIOCARTA_LYM_PATHWAY,1,1,1
BIOCARTA_ARAP_PATHWAY,0.514,0.687,1
BIOCARTA_AGR_PATHWAY,0.3,0.995,1
BIOCARTA_AKAP95_PATHWAY,0.089,0.009,0.232
BIOCARTA_AKT_PATHWAY,0.999,1,1
BIOCARTA_ALK_PATHWAY,1,1,1
BIOCARTA_AT1R_PATHWAY,1,0.998,0.987
BIOCARTA_ACE2_PATHWAY,1,1,1
BIOCARTA_ASBCELL_PATHWAY,1,1,1
BIOCARTA_DNAFRAGMENT_PATHWAY,0.055,0.36,0.491
BIOCARTA_CHEMICAL_PATHWAY,0.111,0.564,0.872
BIOCARTA_SPPA_PATHWAY,1,1,1
BIOCARTA_ATM_PATHWAY,0.938,0.956,0.886
BIOCARTA_AGPCR_PATHWAY,0.909,0.93,1
BIOCARTA_BCELLSURVIVAL_PATHWAY,0,0.607,0.241
BIOCARTA_BLYMPHOCYTE_PATHWAY,1,1,1
BIOCARTA_BCR_PATHWAY,0.07,1,1
BIOCARTA_BIOPEPTIDES_PATHWAY,0.956,1,1
BIOCARTA_NEUROTRANSMITTERS_PATHWAY,1,1,1
BIOCARTA_RANKL_PATHWAY,0.974,0.996,0.997
BIOCARTA_CACAM_PATHWAY,0.756,0.999,0.732
BIOCARTA_CDMAC_PATHWAY,0.248,1,1
BIOCARTA_CARM_ER_PATHWAY,0.996,0.998,0.936
BIOCARTA_CASPASE_PATHWAY,0.023,0.571,0.043
BIOCARTA_CBL_PATHWAY,1,1,1
BIOCARTA_CCR3_PATHWAY,0.974,1,1
BIOCARTA_CD40_PATHWAY,0.456,0.842,0.77
BIOCARTA_MCM_PATHWAY,0.198,0.052,0.864
BIOCARTA_G1_PATHWAY,1,0.729,0.992
BIOCARTA_G2_PATHWAY,0.266,0.997,0.813
BIOCARTA_CELL2CELL_PATHWAY,0.989,1,0.934
BIOCARTA_LAIR_PATHWAY,1,1,1
BIOCARTA_CERAMIDE_PATHWAY,0.999,0.519,0.795
BIOCARTA_TID_PATHWAY,1,0.321,0.869
BIOCARTA_CLASSIC_PATHWAY,1,1,1
BIOCARTA_COMP_PATHWAY,1,1,1
BIOCARTA_VDR_PATHWAY,1,1,1
BIOCARTA_HDAC_PATHWAY,0,0,0
BIOCARTA_GCR_PATHWAY,0.009,0.731,0.98
BIOCARTA_CTCF_PATHWAY,0.998,0.727,0.982
BIOCARTA_CTL_PATHWAY,1,1,1
BIOCARTA_CXCR4_PATHWAY,1,1,1
BIOCARTA_CELLCYCLE_PATHWAY,0.072,0.899,0.998
BIOCARTA_CFTR_PATHWAY,0.999,0.909,1
BIOCARTA_CYTOKINE_PATHWAY,1,1,1
BIOCARTA_INFLAM_PATHWAY,1,1,1
BIOCARTA_D4GDI_PATHWAY,0.773,0.983,0.776
BIOCARTA_DC_PATHWAY,1,1,1
BIOCARTA_P35ALZHEIMERS_PATHWAY,1,0.885,0.964
BIOCARTA_RNA_PATHWAY,0.964,0.011,0.713
BIOCARTA_MTA3_PATHWAY,0,0.006,0.007
BIOCARTA_SKP2E2F_PATHWAY,1,1,1
BIOCARTA_CALCINEURIN_PATHWAY,1,1,0.998
BIOCARTA_EGF_PATHWAY,0.491,1,1
BIOCARTA_ETC_PATHWAY,0.998,1,0.977
BIOCARTA_NDKDYNAMIN_PATHWAY,0.889,0.998,0.875
BIOCARTA_EPHA4_PATHWAY,1,1,1
BIOCARTA_EPO_PATHWAY,0.466,1,1
BIOCARTA_ECM_PATHWAY,0.996,0.73,0.965
BIOCARTA_ERK_PATHWAY,0.982,0.763,1
BIOCARTA_ERYTH_PATHWAY,1,1,1
BIOCARTA_EPONFKB_PATHWAY,0.936,0.972,0.982
BIOCARTA_EIF_PATHWAY,0.743,0,0.147
BIOCARTA_EXTRINSIC_PATHWAY,1,1,1
BIOCARTA_FAS_PATHWAY,0.89,0.659,0.851
BIOCARTA_FCER1_PATHWAY,0.479,1,1
BIOCARTA_FEEDER_PATHWAY,1,1,1
BIOCARTA_FIBRINOLYSIS_PATHWAY,1,1,1
BIOCARTA_FMLP_PATHWAY,0.997,1,1
BIOCARTA_FREE_PATHWAY,0.2,0.284,0.108
BIOCARTA_GABA_PATHWAY,1,1,1
BIOCARTA_GATA3_PATHWAY,1,1,0.998
BIOCARTA_GLYCOLYSIS_PATHWAY,0.252,0.549,0.801
BIOCARTA_SET_PATHWAY,0.96,0.883,0.997
BIOCARTA_GH_PATHWAY,0.171,0.005,1
BIOCARTA_AHSP_PATHWAY,0.778,0.609,0.997
BIOCARTA_TCAPOPTOSIS_PATHWAY,1,1,1
BIOCARTA_HIVNEF_PATHWAY,0.597,0.328,0.215
BIOCARTA_SALMONELLA_PATHWAY,0.842,0.104,0.622
BIOCARTA_MPR_PATHWAY,0.006,0.001,0.776
BIOCARTA_HCMV_PATHWAY,1,0.948,1
BIOCARTA_P53HYPOXIA_PATHWAY,0.209,0.389,0.047
BIOCARTA_HIF_PATHWAY,0.387,0.044,0.002
BIOCARTA_IGF1_PATHWAY,0.527,1,1
BIOCARTA_IL17_PATHWAY,1,1,1
BIOCARTA_IL2_PATHWAY,0.003,0.999,0.999
BIOCARTA_IL3_PATHWAY,0.994,1,1
BIOCARTA_IL4_PATHWAY,0.762,0.322,0.941
BIOCARTA_IL5_PATHWAY,1,1,1
BIOCARTA_IL6_PATHWAY,0.01,0.999,1
BIOCARTA_IL10_PATHWAY,0.346,0.979,0.562
BIOCARTA_IL12_PATHWAY,0.74,0.565,0.864
BIOCARTA_IL2RB_PATHWAY,0.004,0.961,0.709
BIOCARTA_IL22BP_PATHWAY,0.437,0.981,0.609
BIOCARTA_IL7_PATHWAY,0.786,0.963,0.987
BIOCARTA_GSK3_PATHWAY,0.969,1,1
BIOCARTA_DEATH_PATHWAY,0.479,0.551,0.937
BIOCARTA_RACCYCD_PATHWAY,0.999,0.981,0.981
BIOCARTA_GLEEVEC_PATHWAY,0.227,0.999,1
BIOCARTA_INSULIN_PATHWAY,0,0,0.017
BIOCARTA_INTEGRIN_PATHWAY,1,0.982,0.995
BIOCARTA_INTRINSIC_PATHWAY,0.73,0.485,0.911
BIOCARTA_KERATINOCYTE_PATHWAY,0.125,1,1
BIOCARTA_TCRA_PATHWAY,1,1,1
BIOCARTA_LECTIN_PATHWAY,1,1,1
BIOCARTA_PYK2_PATHWAY,1,1,0.999
BIOCARTA_EGFR_SMRTE_PATHWAY,1,1,1
BIOCARTA_MAPK_PATHWAY,0.999,1,0.999
BIOCARTA_MCALPAIN_PATHWAY,0.771,0.046,0.037
BIOCARTA_PPARA_PATHWAY,0.001,0,0.801
BIOCARTA_ETS_PATHWAY,0.134,1,1
BIOCARTA_MONOCYTE_PATHWAY,1,1,1
BIOCARTA_MTOR_PATHWAY,0.999,0.543,1
BIOCARTA_IGF1R_PATHWAY,1,1,1
BIOCARTA_PITX2_PATHWAY,1,1,1
BIOCARTA_NGF_PATHWAY,0.784,1,1
BIOCARTA_VIP_PATHWAY,0.993,1,0.999
BIOCARTA_NFAT_PATHWAY,0.998,1,1
BIOCARTA_NTHI_PATHWAY,1,1,1
BIOCARTA_NFKB_PATHWAY,0.994,0.996,0.921
BIOCARTA_NOS1_PATHWAY,0.95,0.995,0.84
BIOCARTA_NO2IL12_PATHWAY,1,1,1
BIOCARTA_RARRXR_PATHWAY,1,1,1
BIOCARTA_NUCLEARRS_PATHWAY,1,1,1
BIOCARTA_ARENRF2_PATHWAY,0.059,0.985,1
BIOCARTA_P38MAPK_PATHWAY,1,0.996,1
BIOCARTA_P53_PATHWAY,0.699,0.581,0.92
BIOCARTA_PDGF_PATHWAY,0.437,1,1
BIOCARTA_CCR5_PATHWAY,0.001,0.928,0.96
BIOCARTA_PTDINS_PATHWAY,0.038,0.993,0.972
BIOCARTA_PLCE_PATHWAY,0.547,0.458,0.966
BIOCARTA_EDG1_PATHWAY,1,1,1
BIOCARTA_CDK5_PATHWAY,1,1,1
BIOCARTA_MYOSIN_PATHWAY,1,1,1
BIOCARTA_PLATELETAPP_PATHWAY,1,1,1
BIOCARTA_PS1_PATHWAY,1,1,1
BIOCARTA_PROTEASOME_PATHWAY,1,0.998,1
BIOCARTA_AKAPCENTROSOME_PATHWAY,0.498,0.738,0.193
BIOCARTA_PTEN_PATHWAY,1,1,1
BIOCARTA_RAB_PATHWAY,0.619,0.808,0.035
BIOCARTA_RAC1_PATHWAY,1,1,0.997
BIOCARTA_RAS_PATHWAY,1,1,1
BIOCARTA_NKCELLS_PATHWAY,0.926,0.378,0.199
BIOCARTA_RB_PATHWAY,0.917,0.576,0.8
BIOCARTA_CHREBP2_PATHWAY,0.945,1,0.991
BIOCARTA_BAD_PATHWAY,1,1,1
BIOCARTA_CK1_PATHWAY,1,0.955,0.999
BIOCARTA_EIF2_PATHWAY,0.614,0.085,0.758
BIOCARTA_EIF4_PATHWAY,1,0.999,1
BIOCARTA_STEM_PATHWAY,1,1,1
BIOCARTA_P27_PATHWAY,0.999,0.973,0.935
BIOCARTA_PGC1A_PATHWAY,0.999,1,1
BIOCARTA_PML_PATHWAY,0.913,0,0.167
BIOCARTA_DREAM_PATHWAY,0,0.98,0.991
BIOCARTA_LEPTIN_PATHWAY,0.569,0.488,0.926
BIOCARTA_RHO_PATHWAY,0.265,0.005,0.063
BIOCARTA_AKAP13_PATHWAY,1,1,1
BIOCARTA_ATRBRCA_PATHWAY,0.197,0.012,0.605
BIOCARTA_CARDIACEGF_PATHWAY,0,0.257,0.493
BIOCARTA_HER2_PATHWAY,1,1,1
BIOCARTA_ERK5_PATHWAY,1,1,1
BIOCARTA_MAL_PATHWAY,1,1,1
BIOCARTA_MEF2D_PATHWAY,0.858,0.951,0.628
BIOCARTA_MITOCHONDRIA_PATHWAY,0.115,0.413,0.34
BIOCARTA_ACH_PATHWAY,1,0.971,1
BIOCARTA_PARKIN_PATHWAY,0,0.79,0.085
BIOCARTA_CDC42RAC_PATHWAY,0.806,0.004,0.078
BIOCARTA_RANMS_PATHWAY,0.786,0.98,0.807
BIOCARTA_BARR_MAPK_PATHWAY,1,1,1
BIOCARTA_TOB1_PATHWAY,1,1,1
BIOCARTA_BARRESTIN_SRC_PATHWAY,1,1,1
BIOCARTA_NKT_PATHWAY,1,1,1
BIOCARTA_IL1R_PATHWAY,1,0.99,1
BIOCARTA_MET_PATHWAY,0.943,1,1
BIOCARTA_GPCR_PATHWAY,0.349,1,1
BIOCARTA_IGF1MTOR_PATHWAY,0.429,0.993,0.994
BIOCARTA_SODD_PATHWAY,0.002,0.283,0.922
BIOCARTA_SHH_PATHWAY,1,0.975,1
BIOCARTA_PTC1_PATHWAY,0.93,0.978,0.922
BIOCARTA_SPRY_PATHWAY,1,1,1
BIOCARTA_BARRESTIN_PATHWAY,0.994,1,1
BIOCARTA_STATHMIN_PATHWAY,0.9,0.613,0.968
BIOCARTA_HSP27_PATHWAY,0.044,0.048,0.113
BIOCARTA_TCR_PATHWAY,0.429,1,1
BIOCARTA_TCYTOTOXIC_PATHWAY,1,1,1
BIOCARTA_THELPER_PATHWAY,1,1,1
BIOCARTA_TALL1_PATHWAY,1,1,1
BIOCARTA_TEL_PATHWAY,0.16,0.852,0.609
BIOCARTA_TGFB_PATHWAY,0.975,1,1
BIOCARTA_TH1TH2_PATHWAY,1,1,1
BIOCARTA_41BB_PATHWAY,1,1,1
BIOCARTA_KREB_PATHWAY,0.76,0,0.244
BIOCARTA_CTLA4_PATHWAY,1,1,1
BIOCARTA_LONGEVITY_PATHWAY,0.044,0.997,0.861
BIOCARTA_SARS_PATHWAY,1,1,1
BIOCARTA_PAR1_PATHWAY,1,1,1
BIOCARTA_STRESS_PATHWAY,1,1,0.999
BIOCARTA_TNFR1_PATHWAY,0.653,0.975,0.888
BIOCARTA_TNFR2_PATHWAY,0.649,0.967,0.996
BIOCARTA_TOLL_PATHWAY,0.223,1,0.99
BIOCARTA_TPO_PATHWAY,0.336,1,1
BIOCARTA_CREB_PATHWAY,0.932,0.939,1
BIOCARTA_CARM1_PATHWAY,1,0.833,1
BIOCARTA_TFF_PATHWAY,0.947,0.608,0.726
BIOCARTA_TRKA_PATHWAY,1,1,1
BIOCARTA_ARF_PATHWAY,0.755,0.815,0.974
BIOCARTA_UCALPAIN_PATHWAY,0.263,0.006,0.017
BIOCARTA_VEGF_PATHWAY,0.653,0.915,0.25
BIOCARTA_VITCB_PATHWAY,1,1,1
BIOCARTA_WNT_PATHWAY,1,1,1
BIOCARTA_ACTINY_PATHWAY,0.195,0.401,0.119
ST_INTERFERON_GAMMA_PATHWAY,0.847,0,0.51
ST_WNT_CA2_CYCLIC_GMP_PATHWAY,0.997,1,0.859
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS,1,0.587,0.994
ST_TUMOR_NECROSIS_FACTOR_PATHWAY,0.672,0.874,0.994
SA_B_CELL_RECEPTOR_COMPLEXES,0.62,1,1
ST_ERK1_ERK2_MAPK_PATHWAY,1,0.992,0.999
SIG_CD40PATHWAYMAP,0.997,1,1
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES,1,1,1
SA_CASPASE_CASCADE,0.606,0.727,0.877
ST_GA12_PATHWAY,0.997,0.959,0.892
ST_G_ALPHA_S_PATHWAY,0.249,0.124,0.081
ST_G_ALPHA_I_PATHWAY,1,0.979,1
SIG_CHEMOTAXIS,1,0.998,1
ST_IL_13_PATHWAY,1,1,1
ST_P38_MAPK_PATHWAY,1,1,1
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES,1,1,1
WNT_SIGNALING,0.995,1,0.998
ST_JAK_STAT_PATHWAY,0.988,0.999,1
SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES,1,0.998,0.933
ST_GRANULE_CELL_SURVIVAL_PATHWAY,0.889,1,0.999
ST_ADRENERGIC,1,1,1
