,human,mouse
KEGG_HUNTINGTONS_DISEASE,0.300957592,0.733235077
KEGG_PRION_DISEASES,0.49247606,0.039793662
KEGG_VIBRIO_CHOLERAE_INFECTION,0.096443228,0.84082535
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.763337893,0.792188651
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.313269494,0.766396463
KEGG_LEISHMANIA_INFECTION,0.39124487,0.099484156
KEGG_PATHWAYS_IN_CANCER,0.647058824,0.012527634
KEGG_COLORECTAL_CANCER,0.809849521,0.324981577
KEGG_RENAL_CELL_CARCINOMA,0.577975376,0.392041268
KEGG_PANCREATIC_CANCER,0.79001368,0.054532056
KEGG_ENDOMETRIAL_CANCER,0.795485636,0.193072955
KEGG_GLIOMA,0.848153215,0.014001474
KEGG_PROSTATE_CANCER,0.019835841,0.032424466
KEGG_THYROID_CANCER,0.75376197,0.251289609
KEGG_BASAL_CELL_CARCINOMA,0.132010944,0.028739867
KEGG_MELANOMA,0.807797538,0.002210759
KEGG_BLADDER_CANCER,0.198358413,0.253500368
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.779069767,0.361827561
KEGG_ACUTE_MYELOID_LEUKEMIA,0.759917921,0.072218128
KEGG_SMALL_CELL_LUNG_CANCER,0.850889193,0.259395726
KEGG_NON_SMALL_CELL_LUNG_CANCER,0.722298222,0.333824613
KEGG_ASTHMA,1,1
KEGG_AUTOIMMUNE_THYROID_DISEASE,1,1
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.850889193,0.764922623
KEGG_ALLOGRAFT_REJECTION,1,1
KEGG_GRAFT_VERSUS_HOST_DISEASE,1,1
KEGG_PRIMARY_IMMUNODEFICIENCY,0.482216142,0.234340457
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.820109439,0.755342668
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.764021888,0.733971997
KEGG_DILATED_CARDIOMYOPATHY,0.79753762,0.770081061
KEGG_VIRAL_MYOCARDITIS,0.850205198,0.691967576
BIOCARTA_RELA_PATHWAY,0.354309166,0.073691968
BIOCARTA_NO1_PATHWAY,0.162106703,0.732498158
BIOCARTA_CSK_PATHWAY,0.149110807,0.635224761
BIOCARTA_SRCRPTP_PATHWAY,0.353625171,0.035372144
BIOCARTA_AMI_PATHWAY,0.382352941,0.199705232
BIOCARTA_GRANULOCYTES_PATHWAY,1,1
BIOCARTA_LYM_PATHWAY,0.392612859,1
BIOCARTA_ARAP_PATHWAY,0.06497948,0.528371408
BIOCARTA_AGR_PATHWAY,0.470588235,0.539425203
BIOCARTA_AKAP95_PATHWAY,0.203830369,0.516580693
BIOCARTA_AKT_PATHWAY,0.448016416,0.434045689
BIOCARTA_ALK_PATHWAY,0.052667579,0.061901253
BIOCARTA_AT1R_PATHWAY,0.774281806,0.756816507
BIOCARTA_ACE2_PATHWAY,0.185362517,0.126750184
BIOCARTA_ASBCELL_PATHWAY,1,1
BIOCARTA_DNAFRAGMENT_PATHWAY,0.40629275,0.355932203
BIOCARTA_CHEMICAL_PATHWAY,0.289329685,0.29476787
BIOCARTA_SPPA_PATHWAY,0.097811218,0.103168755
BIOCARTA_ATM_PATHWAY,0.766073871,0.248341931
BIOCARTA_AGPCR_PATHWAY,0.070451436,0.540162122
BIOCARTA_BCELLSURVIVAL_PATHWAY,0.078659371,0.108327192
BIOCARTA_BLYMPHOCYTE_PATHWAY,0.48495212,1
BIOCARTA_BCR_PATHWAY,0.629274966,0.77376566
BIOCARTA_BIOPEPTIDES_PATHWAY,0.778385773,0.395725866
BIOCARTA_NEUROTRANSMITTERS_PATHWAY,1,1
BIOCARTA_RANKL_PATHWAY,0.573871409,0.148857775
BIOCARTA_CACAM_PATHWAY,0.240082079,0.68238762
BIOCARTA_CDMAC_PATHWAY,0.738030096,0.110537951
BIOCARTA_CARM_ER_PATHWAY,0.121751026,0.246868091
BIOCARTA_CASPASE_PATHWAY,0.136798906,0.282977155
BIOCARTA_CBL_PATHWAY,0.233926129,0.0449521
BIOCARTA_CCR3_PATHWAY,0.149794802,0.731024318
BIOCARTA_CD40_PATHWAY,0.619699042,0.078113486
BIOCARTA_MCM_PATHWAY,0.243502052,0.436256448
BIOCARTA_G1_PATHWAY,0.166894665,0.245394252
BIOCARTA_G2_PATHWAY,0.37004104,0.630066323
BIOCARTA_CELL2CELL_PATHWAY,0.219562244,0.024318349
BIOCARTA_LAIR_PATHWAY,0.420656635,0.294030951
BIOCARTA_CERAMIDE_PATHWAY,0.136798906,0.601326455
BIOCARTA_TID_PATHWAY,0.41997264,0.207811349
BIOCARTA_CLASSIC_PATHWAY,1,1
BIOCARTA_COMP_PATHWAY,0.389876881,0.166543847
BIOCARTA_VDR_PATHWAY,0.044459644,0.014001474
BIOCARTA_HDAC_PATHWAY,0.004787962,0.044215181
BIOCARTA_GCR_PATHWAY,0.097811218,0.738393515
BIOCARTA_CTCF_PATHWAY,0.220246238,0.112011791
BIOCARTA_CTL_PATHWAY,0.598495212,1
BIOCARTA_CXCR4_PATHWAY,0.428864569,0.139277819
BIOCARTA_CELLCYCLE_PATHWAY,0.173050616,0.252026529
BIOCARTA_CFTR_PATHWAY,0.091655267,0.536477524
BIOCARTA_CYTOKINE_PATHWAY,1,1
BIOCARTA_INFLAM_PATHWAY,0.447332421,1
BIOCARTA_D4GDI_PATHWAY,0.569083447,0.421518055
BIOCARTA_DC_PATHWAY,1,1
BIOCARTA_P35ALZHEIMERS_PATHWAY,0.067031464,0.179071481
BIOCARTA_RNA_PATHWAY,0.610807114,0.145910096
BIOCARTA_MTA3_PATHWAY,0.804377565,0.729550479
BIOCARTA_SKP2E2F_PATHWAY,0.31121751,0.112011791
BIOCARTA_CALCINEURIN_PATHWAY,0.495896033,0.708179808
BIOCARTA_EGF_PATHWAY,0.606019152,0.028002948
BIOCARTA_ETC_PATHWAY,0.759917921,0.711864407
BIOCARTA_NDKDYNAMIN_PATHWAY,0.532831737,0.733235077
BIOCARTA_EPHA4_PATHWAY,0.07250342,0.156963891
BIOCARTA_EPO_PATHWAY,0.548563611,0.22623434
BIOCARTA_ECM_PATHWAY,0.683994528,0.43257185
BIOCARTA_ERK_PATHWAY,0.056771546,0.011053795
BIOCARTA_ERYTH_PATHWAY,0.138166895,1
BIOCARTA_EPONFKB_PATHWAY,0.614227086,0.077376566
BIOCARTA_EIF_PATHWAY,0.800957592,0.627118644
BIOCARTA_EXTRINSIC_PATHWAY,0.14500684,1
BIOCARTA_FAS_PATHWAY,0.327633379,0.120854827
BIOCARTA_FCER1_PATHWAY,0.740766074,0.77302874
BIOCARTA_FEEDER_PATHWAY,0.316005472,0.241709654
BIOCARTA_FIBRINOLYSIS_PATHWAY,0.138850889,1
BIOCARTA_FMLP_PATHWAY,0.747606019,0.736182756
BIOCARTA_FREE_PATHWAY,0.332421341,0.297715549
BIOCARTA_GABA_PATHWAY,0.002051984,1
BIOCARTA_GATA3_PATHWAY,0.138850889,0.128224024
BIOCARTA_GLYCOLYSIS_PATHWAY,0.627906977,0.551215917
BIOCARTA_SET_PATHWAY,0.374829001,0.373618276
BIOCARTA_GH_PATHWAY,0.023939808,0.13706706
BIOCARTA_AHSP_PATHWAY,0.21751026,0.09137804
BIOCARTA_TCAPOPTOSIS_PATHWAY,1,1
BIOCARTA_HIVNEF_PATHWAY,0.822161423,0.615327929
BIOCARTA_SALMONELLA_PATHWAY,0.676470588,0.686809138
BIOCARTA_MPR_PATHWAY,0.123119015,0.792188651
BIOCARTA_HCMV_PATHWAY,0.090287278,0.100221076
BIOCARTA_P53HYPOXIA_PATHWAY,0.564295486,0.605011054
BIOCARTA_HIF_PATHWAY,0.099179207,0.299189388
BIOCARTA_IGF1_PATHWAY,0.39876881,0.004421518
BIOCARTA_IL17_PATHWAY,0.264021888,1
BIOCARTA_IL2_PATHWAY,0.662106703,0.216654385
BIOCARTA_IL3_PATHWAY,0.249658003,0.289609433
BIOCARTA_IL4_PATHWAY,0.120383037,0.032424466
BIOCARTA_IL5_PATHWAY,1,1
BIOCARTA_IL6_PATHWAY,0.696990424,0.047899779
BIOCARTA_IL10_PATHWAY,0.567715458,0.126013265
BIOCARTA_IL12_PATHWAY,0.272229822,0.238761975
BIOCARTA_IL2RB_PATHWAY,0.620383037,0.731024318
BIOCARTA_IL22BP_PATHWAY,0.264705882,0.115696389
BIOCARTA_IL7_PATHWAY,0.378248974,0.101694915
BIOCARTA_GSK3_PATHWAY,0.289329685,0.030950626
BIOCARTA_DEATH_PATHWAY,0.660738714,0.192336035
BIOCARTA_RACCYCD_PATHWAY,0.664842681,0.535003685
BIOCARTA_GLEEVEC_PATHWAY,0.34746922,0.202652911
BIOCARTA_INSULIN_PATHWAY,0.049931601,0.108327192
BIOCARTA_INTEGRIN_PATHWAY,0.83378933,0.501842299
BIOCARTA_INTRINSIC_PATHWAY,0.381668947,0.198231393
BIOCARTA_KERATINOCYTE_PATHWAY,0.838577291,0.230655859
BIOCARTA_TCRA_PATHWAY,1,1
BIOCARTA_LECTIN_PATHWAY,1,1
BIOCARTA_PYK2_PATHWAY,0.759233926,0.75092115
BIOCARTA_EGFR_SMRTE_PATHWAY,0.029411765,0.029476787
BIOCARTA_MAPK_PATHWAY,0.415868673,0.691967576
BIOCARTA_MCALPAIN_PATHWAY,0.15253078,0.47752395
BIOCARTA_PPARA_PATHWAY,0.005471956,0.805453206
BIOCARTA_ETS_PATHWAY,0.420656635,0.18128224
BIOCARTA_MONOCYTE_PATHWAY,0.382352941,0.31761238
BIOCARTA_MTOR_PATHWAY,0.686730506,0.742815033
BIOCARTA_IGF1R_PATHWAY,0.406976744,0.008843036
BIOCARTA_PITX2_PATHWAY,0.084815321,0.030213707
BIOCARTA_NGF_PATHWAY,0.539671683,0.154016212
BIOCARTA_VIP_PATHWAY,0.630642955,0.741341194
BIOCARTA_NFAT_PATHWAY,0.547195622,0.495946942
BIOCARTA_NTHI_PATHWAY,0.480848153,0.047899779
BIOCARTA_NFKB_PATHWAY,0.395348837,0.038319823
BIOCARTA_NOS1_PATHWAY,0.589603283,0.708916728
BIOCARTA_NO2IL12_PATHWAY,0.176470588,1
BIOCARTA_RARRXR_PATHWAY,0.032147743,0.02358143
BIOCARTA_NUCLEARRS_PATHWAY,0.077975376,0.024318349
BIOCARTA_ARENRF2_PATHWAY,0.195622435,0.075165807
BIOCARTA_P38MAPK_PATHWAY,0.774281806,0.690493736
BIOCARTA_P53_PATHWAY,0.632694938,0.534266765
BIOCARTA_PDGF_PATHWAY,0.584815321,0.027266028
BIOCARTA_CCR5_PATHWAY,0.530779754,0.736182756
BIOCARTA_PTDINS_PATHWAY,0.411080711,0.533529845
BIOCARTA_PLCE_PATHWAY,0.0875513,0.435519528
BIOCARTA_EDG1_PATHWAY,0.5,0.327929256
BIOCARTA_CDK5_PATHWAY,0.086183311,0.139277819
BIOCARTA_MYOSIN_PATHWAY,0.093023256,0.051584377
BIOCARTA_PLATELETAPP_PATHWAY,0.069083447,0.191599116
BIOCARTA_PS1_PATHWAY,0.186730506,0.034635225
BIOCARTA_PROTEASOME_PATHWAY,0.582763338,0.028739867
BIOCARTA_AKAPCENTROSOME_PATHWAY,0.311901505,0.550478998
BIOCARTA_PTEN_PATHWAY,0.026675787,0.134119381
BIOCARTA_RAB_PATHWAY,0.181942544,0.542372881
BIOCARTA_RAC1_PATHWAY,0.132010944,0.510685335
BIOCARTA_RAS_PATHWAY,0.793433653,0.599115696
BIOCARTA_NKCELLS_PATHWAY,0.245554036,0.624907885
BIOCARTA_RB_PATHWAY,0.119699042,0.274871039
BIOCARTA_CHREBP2_PATHWAY,0.626538988,0.736182756
BIOCARTA_BAD_PATHWAY,0.159370725,0.017686072
BIOCARTA_CK1_PATHWAY,0.111491108,0.561532793
BIOCARTA_EIF2_PATHWAY,0.677838577,0.606484893
BIOCARTA_EIF4_PATHWAY,0.287277702,0.421518055
BIOCARTA_STEM_PATHWAY,1,1
BIOCARTA_P27_PATHWAY,0.421340629,0.515106853
BIOCARTA_PGC1A_PATHWAY,0.672366621,0.711864407
BIOCARTA_PML_PATHWAY,0.179890561,0.238761975
BIOCARTA_DREAM_PATHWAY,0.582079343,0.38540899
BIOCARTA_LEPTIN_PATHWAY,0.040355677,0.024318349
BIOCARTA_RHO_PATHWAY,0.841997264,0.781134856
BIOCARTA_AKAP13_PATHWAY,0.262653899,0.177597642
BIOCARTA_ATRBRCA_PATHWAY,0.190834473,0.215917465
BIOCARTA_CARDIACEGF_PATHWAY,0.801641587,0.104642594
BIOCARTA_HER2_PATHWAY,0.354309166,0.02358143
BIOCARTA_ERK5_PATHWAY,0.071819425,0.147383935
BIOCARTA_MAL_PATHWAY,0.5875513,0.699336772
BIOCARTA_MEF2D_PATHWAY,0.631326949,0.7266028
BIOCARTA_MITOCHONDRIA_PATHWAY,0.108071135,0.471628592
BIOCARTA_ACH_PATHWAY,0.055403557,0.040530582
BIOCARTA_PARKIN_PATHWAY,0.207934337,0.456153279
BIOCARTA_CDC42RAC_PATHWAY,0.778385773,0.766396463
BIOCARTA_RANMS_PATHWAY,0.32626539,0.364775239
BIOCARTA_BARR_MAPK_PATHWAY,0.02872777,0.571849668
BIOCARTA_TOB1_PATHWAY,0.164158687,0.208548268
BIOCARTA_BARRESTIN_SRC_PATHWAY,0.04377565,0.607958732
BIOCARTA_NKT_PATHWAY,0.395348837,1
BIOCARTA_IL1R_PATHWAY,0.729822161,0.066322771
BIOCARTA_MET_PATHWAY,0.733242134,0.102431835
BIOCARTA_GPCR_PATHWAY,0.205882353,0.789977892
BIOCARTA_IGF1MTOR_PATHWAY,0.722982216,0.028739867
BIOCARTA_SODD_PATHWAY,0.220930233,0.059690494
BIOCARTA_SHH_PATHWAY,0.117647059,0.088430361
BIOCARTA_PTC1_PATHWAY,0.272229822,0.212232867
BIOCARTA_SPRY_PATHWAY,0.062927497,0.095062638
BIOCARTA_BARRESTIN_PATHWAY,0.071135431,0.13633014
BIOCARTA_STATHMIN_PATHWAY,0.160738714,0.271186441
BIOCARTA_HSP27_PATHWAY,0.185362517,0.450257922
BIOCARTA_TCR_PATHWAY,0.768125855,0.792925571
BIOCARTA_TCYTOTOXIC_PATHWAY,0.298905609,1
BIOCARTA_THELPER_PATHWAY,0.315321477,1
BIOCARTA_TALL1_PATHWAY,0.04377565,0.04642594
BIOCARTA_TEL_PATHWAY,0.677154583,0.005895357
BIOCARTA_TGFB_PATHWAY,0.226402189,0.108327192
BIOCARTA_TH1TH2_PATHWAY,0.509575923,1
BIOCARTA_41BB_PATHWAY,0.575239398,0.09064112
BIOCARTA_KREB_PATHWAY,0.183310534,0.531319086
BIOCARTA_CTLA4_PATHWAY,0.436388509,0.140014738
BIOCARTA_LONGEVITY_PATHWAY,0.292065663,0.011790715
BIOCARTA_SARS_PATHWAY,0.532147743,0.536477524
BIOCARTA_PAR1_PATHWAY,0.16621067,0.179071481
BIOCARTA_STRESS_PATHWAY,0.664158687,0.138540899
BIOCARTA_TNFR1_PATHWAY,0.132010944,0.109064112
BIOCARTA_TNFR2_PATHWAY,0.530779754,0.117170228
BIOCARTA_TOLL_PATHWAY,0.646374829,0.086956522
BIOCARTA_TPO_PATHWAY,0.573187415,0.029476787
BIOCARTA_CREB_PATHWAY,0.331737346,0.711864407
BIOCARTA_CARM1_PATHWAY,0.084815321,0.048636699
BIOCARTA_TFF_PATHWAY,0.650478796,0.282240236
BIOCARTA_TRKA_PATHWAY,0.029411765,0.010316875
