,GSM2172075,GSM2172102,GSM2172173,GSM2172352,GSM2174145,GSM2174148,GSM2174150,GSM2174151,GSM2174153,GSM2174156,GSM2174158,GSM2174161,GSM2174168,GSM2174170,GSM2174171,GSM2174172,GSM2174173,GSM2174176,GSM2174177,GSM2174182,GSM2174190,GSM2174194,GSM2174195,GSM2174196,GSM2174198,GSM2174201,GSM2174204,GSM2174205,GSM2174207,GSM2174209,GSM2174213,GSM2174215,GSM2174217,GSM2174224,GSM2174229,GSM2174231,GSM2174238,GSM2174241,GSM2174242,GSM2174247,GSM2174249,GSM2174253,GSM2174255,GSM2174259,GSM2174261,GSM2174262,GSM2174263,GSM2174265,GSM2174268,GSM2174270,GSM2174276,GSM2174281,GSM2174282,GSM2174283,GSM2174285,GSM2174289,GSM2174294,GSM2174296,GSM2174299,GSM2174305,GSM2174307,GSM2174309,GSM2174310,GSM2174313,GSM2174316,GSM2174324,GSM2174325,GSM2174326,GSM2174336,GSM2174343,GSM2174346,GSM2174347,GSM2174352,GSM2174356,GSM2174358,GSM2174359,GSM2174360,GSM2174368,GSM2174370,GSM2174376,GSM2174379,GSM2174381,GSM2174383,GSM2174386,GSM2174389,GSM2174390,GSM2174403,GSM2174406,GSM2174407,GSM2174408,GSM2174416,GSM2174417,GSM2174422
Acquired_metabolic_disease,0.6428,0.7832,0.4256,0.991,0.9922,0.9482,0.793,0.673,0.8166,0.8934,0.563,0.8842,0.6406,0.7956,0.9702,0.6402,0.982,0.4946,0.9938,0.7592,0.9016,0.8076,0.9656,0.8928,0.7268,0.4448,0.9164,0.9772,0.9976,0.8208,0.4146,0.8478,0.4686,0.7568,0.3,0.9332,0.5534,0.883,0.7744,0.449,0.4828,0.854,0.3548,0.9422,0.2044,0.3388,0.8194,0.2818,0.3756,0.7842,0.6078,0.9022,0.1396,0.2646,0.7116,0.8638,0.9522,0.5268,0.6052,0.9904,0.843,0.934,0.271,0.9638,0.9904,0.8968,0.8896,0.6464,0.481,0.8858,0.9718,0.9854,0.681,0.9886,0.9186,0.5598,0.4688,0.8978,0.2498,0.9834,0.9192,0.5978,0.9904,0.3418,0.3696,0.6264,0.6312,0.9278,0.8304,0.8894,0.867,0.9454,0.8658
Acrocallosal_syndrome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acrocephalosyndactylia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acrodermatitis_enteropathica,1,0.9868,1,0.0528,1,0.9996,1,0.4928,0.7484,1,1,0.9984,0.9506,1,1,0.9886,0.00639999999999996,0.9984,1,1,0.9982,1,1,1,0.9924,1,0.9782,0.4534,0.9626,1,1,1,0.7822,1,0.9944,1,1,0.9858,0.9992,1,0.9936,0.9578,1,1,1,1,1,0.299,1,0.843,0.9328,1,1,1,0.9918,1,1,0.9986,0.998,1,0.9932,1,1,1,0.9996,1,0.9956,1,0.9104,0.9492,1,1,1,0.9916,1,0.8032,0.9984,0.8828,1,1,1,1,1,1,1,1,1,0.99,0.9896,0.9924,1,1,1
Acrodysostosis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acrofacial_dysostosis,1,0.9284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.995,1,1,1,1,1,1,1,1,1,1,1,0.9754,1,0.9852,0.9932,1,1,1,1,1,1,1,1,1,0.9918,1,1,1,1,1,0.9964,1,1,0.9814,1,1,1,0.9942,1,1,0.6942,0.9912,1,1,1,1,1,1,1,1,0.9928,0.9438,1,0.9914,1,1,1,0.9852,1,1,0.9978,1,1,1,1,1
Acromegaly,0,0,0.000399999999999956,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.000199999999999978,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Acromesomelic_dysplasia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Actinic_keratosis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acute_chest_syndrome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acute_cystitis,1,0.021,0.00239999999999996,1,0.0772,0.7458,1,0.2894,0.1248,0.0986,0.1652,0.00519999999999998,1,0.6816,0.00600000000000001,1,0.00160000000000005,0.019,1,0.1838,1,0.1194,0.1576,0.7994,0.1426,0.0948,0.00239999999999996,0.273,0.00119999999999998,0.5326,1,1,1,1,0.0522,1,1,0.949,0.0172,1,0.029,0.00180000000000002,0.097,0.7328,1,0.3258,0.00180000000000002,0.6112,1,0.023,0.0586,0.1346,1,1,0.0312,0.0606,0.00819999999999999,0,0.4992,0.2068,0.401,0.4618,0.00880000000000003,1,0.00119999999999998,0.2816,0.0194,0.5596,0.5314,0.1122,0.2398,0.0114,1,0.1612,1,1,0.012,0.0948,0.0632,1,1,0.8316,1,0.0292,0.8116,1,0.0427999999999999,0.0838,1,1,0.2062,1,1
Acute_disseminated_encephalomyelitis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acute_intermittent_porphyria,1,0.9982,0.9402,0.9976,1,0.5926,1,0.9774,1,1,0.9286,0.9582,1,1,1,0.998,0.4564,0.6818,1,1,0.8602,1,1,1,0.9812,1,0.9936,1,1,0.9878,0.9134,1,1,1,0.7888,1,0.9762,0.63,1,1,1,0.9944,0.7318,1,1,0.9582,0.9966,0.9716,0.8398,1,1,0.9904,1,1,0.9928,0.8542,1,1,0.9964,1,1,1,1,1,0.9552,1,1,1,1,1,1,1,0.9836,0.8716,0.1466,0.9668,1,0.9584,0.3386,1,0.9362,1,1,0.9836,1,1,1,0.3948,1,0.881,1,1,1
Acute_lymphocytic_leukemia,1,1,1,1,1,0.9008,1,0.8606,1,1,1,1,0.519,1,1,0.9856,0.7098,1,1,1,0.9518,1,1,1,0.993,1,0.7628,1,1,1,0.7996,1,1,1,1,1,0.997,0.9936,1,1,1,1,1,1,1,1,1,0.7732,1,0.967,1,1,0.9962,1,1,1,1,0.9844,1,1,0.99,1,0.9978,1,0.9994,1,1,0.9852,1,0.9978,1,1,0.982,1,0.8472,1,0.8438,0.8284,1,1,1,0.989,1,0.9986,1,1,1,0.999,1,0.9988,1,0.9992,1
Acute_monocytic_leukemia,1,1,1,1,1,1,1,0.9718,1,1,1,1,1,1,1,0.9946,0.9908,0.8072,0.8512,0.9916,0.9918,1,1,1,1,1,0.9972,1,1,0.9956,1,1,1,1,1,1,1,1,0.987,1,1,1,0.995,1,1,0.9826,1,1,1,0.8506,1,0.9764,1,1,0.8514,1,1,1,1,1,0.9862,1,1,1,0.9944,1,0.7268,1,1,0.9826,1,1,1,0.9972,1,1,1,0.9916,1,0.9966,0.9398,0.99,1,0.9658,1,1,1,1,1,1,0.4746,1,1
Acute_myeloid_leukemia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.987,0.6692,0.998,0.9902,1,1,1,1,1,1,1,0.9886,0.9942,1,1,1,1,1,1,1,0.9688,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9956,1,1,1,1,1,1,1,0.9776,1,1,0.5108,1,1,1,0.992,1,1,1,1,1,1,1,0.9676,0.9778,1,1,1,0.874,1,1,0.9256,1,1,1,1,1,1,0.992,1,1,1,1,1
Acute_pancreatitis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acute_poststreptococcal_glomerulonephritis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acute_promyelocytic_leukemia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acute_stress_disorder,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acute_urate_nephropathy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Adams_Oliver_syndrome,1,0.000399999999999956,1,0.1018,0.3234,1,1,1,1,0.9976,1,1,1,1,1,1,0.9998,1,0.8102,0.999,1,1,1,1,1,1,0.1652,1,1,1,1,0.6038,1,1,1,1,0.2604,0.9952,0.9552,1,1,1,1,1,0.9888,1,1,0.1858,1,1,1,1,1,0.5886,1,1,1,1,0.7904,0.955,1,0.8524,1,1,0.9992,0.9946,1,0.9994,0.3602,1,1,0.9816,1,1,0.00900000000000001,1,1,1,0.858,1,0.9822,0.1482,1,1,1,1,1,0.9928,0.9998,1,1,0.9508,0.997
Addison_s_disease,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Adenine_phosphoribosyltransferase_deficiency,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Adenocarcinoma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Adenocarcinoma_in_situ,1,1,1,1,1,0.7486,1,0.903,1,0.766,1,1,1,1,1,0.941,0.9066,1,1,1,0.4706,1,1,1,0.7782,1,0.8108,1,1,0.6776,1,1,1,1,1,1,1,0.5896,0.884,1,1,1,1,1,1,1,0.5462,1,1,1,0.8734,0.2316,0.6978,1,1,1,1,0.921,0.494,1,1,1,0.7572,1,0.5288,0.717,1,1,1,0.891,1,1,1,1,1,0.941,1,0.9834,1,0.8826,1,0.643,1,1,1,1,1,1,1,0.5418,1,1,0.7682
Adenoma,1,1,1,1,1,1,0.9904,0.0112,0.9482,0.7976,0.9764,0.9976,1,1,0.125,0.00839999999999996,0.9684,1,1,0.29,0.0744,0.000399999999999956,0.9522,0.5132,1,0.015,0.000399999999999956,0.4766,1,0.0238,1,1,0.5856,0.9994,0.9076,1,0.0114,0.9206,0.9988,0.3626,0.1652,1,0.512,0.9996,0.806,0.5646,1,0.0984,1,0.762,0.000800000000000023,0.6672,0.9422,0.9854,0.4492,1,1,0.905,0.236,0.0256,0.812,0.2666,0.6232,1,0.2182,0.093,1,1,0.1766,0.0911999999999999,0.0155999999999999,0.9886,0.3736,1,0.023,0.9678,0.2172,0.0848,0.9846,1,1,0.2784,0.9932,0.3808,0.9198,1,1,0.8224,1,1,1,1,1
Adenomatoid_tumor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Adjustment_disorder,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Adrenal_cortical_adenoma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Adrenal_gland_cancer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
